drogaA drogaB YY
   9.458915   62.544278 2113.550562
  10.965478   38.541152 1587.648117
   4.164581   88.270478 1502.453634
   6.830745   93.758674 2426.180587
   6.134975   29.860148  715.809490
  10.324737   36.193244 1418.516597
  10.778624   53.840134 2024.527925
  12.071537   22.851034 1053.168742
  10.259857   84.362504 3080.799558
  10.334216   81.680108 2991.210765
   6.870767   14.075432  342.151014
   9.468758   63.501393 2223.598196
   5.637671   77.796778 1778.453509
   7.256814   62.008771 1703.718868
  12.352934   59.339327 2519.974285
   7.184046   91.055319 2471.800720
   9.679864   12.133491  426.093561
   3.540482   88.406515 1350.843423
   4.543144   42.259930  862.424308
   3.866446   92.878099 1572.626813
   6.688834   82.083833 2114.408091
  12.983116   87.349221 3827.855972
   3.544390   71.027361 1152.617032
  12.195566   82.791725 3442.464494
   5.773871   72.623311 1711.197498
   8.230458   63.971388 1897.415724
  13.339360   58.180306 2698.847709
   4.947983   38.149008  789.766343
   3.779649   15.181650  218.690193
  13.326028   25.185778 1268.983691
  13.594549   57.506512 2696.866106
   9.966182   82.554711 2892.513956
  12.641031   78.801104 3342.598560
  11.488139   45.219577 1894.638061
  11.972218   23.122358 1092.910838
   3.336429   41.536090  662.766904
   4.123366   88.870326 1598.177763
   3.951548   83.783607 1393.213509
   3.468421   79.883754 1340.573710
   3.207098   10.178992  207.482297
