indice_tiempo;empleo_registrado_priv_agricultura_ganaderia_pesca;empleo_registrado_priv_mineria_petroleo;empleo_registrado_priv_industria;empleo_registrado_priv_electricidad_gas_agua;empleo_registrado_priv_construccion;empleo_registrado_priv_comercio;empleo_registrado_priv_servicios;empleo_registrado_priv_total
1/1/1996;243532;33162;888892;44164;181983;522686;1509711;3424130
1/4/1996;247057;33868;896418;44543;186156;530496;1526816;3465354
1/7/1996;242549;34278;902778;45192;202382;539798;1561274;3528251
1/10/1996;248281;36426;917052;44429;216302;555765;1608550;3626805
1/1/1997;270062;35938;928622;44649;232408;566988;1645668;3724335
1/4/1997;269435;37353;939652;44956;236393;574514;1673422;3775725
1/7/1997;256771;37945;939772;47326;246208;585295;1722117;3835434
1/10/1997;260937;38019;953626;47563;256318;603566;1792804;3952833
1/1/1998;281646;38900;959587;47921;260600;615609;1851889;4056152
1/4/1998;268423;39369;961649;47936;261331;621754;1867958;4068420
1/7/1998;262330;39103;954190;48948;269896;625935;1892496;4092898
1/10/1998;263461;37388;948561;48280;276590;632686;1911575;4118541
1/1/1999;279389;35628;935095;48168;275777;631740;1898542;4104339
1/4/1999;265058;34990;912751;48137;273013;625788;1892225;4051962
1/7/1999;254704;35242;893245;49165;268249;619865;1891143;4011613
1/10/1999;254843;35975;887725;49123;261012;623822;1912289;4024789
1/1/2000;268687;36796;882409;48688;245413;629237;1915427;4026657
1/4/2000;259041;37126;864032;48826;227227;623579;1908403;3968234
1/7/2000;254875;37075;855680;48316;224817;628431;1921112;3970306
1/10/2000;254819;36880;853826;48851;231131;641188;1949783;4016478
1/1/2001;269938;38004;851088;48867;227967;648216;1952020;4036100
1/4/2001;264960;38520;834627;48754;218013;640770;1934878;3980522
1/7/2001;249594;37665;812421;49010;200191;628765;1901819;3879465
1/10/2001;240856;37299;786472;48625;179771;615440;1877553;3786016
1/1/2002;249031;36373;749652;47751;137673;588400;1800292;3609172
1/4/2002;245521;34899;735247;46090;117734;568846;1762008;3510345
1/7/2002;240298;34608;729924;45922;114159;559030;1744572;3468513
1/10/2002;240779;35514;738619;45832;123797;562548;1759519;3506608
1/1/2003;261001;36898;762196;45836;136766;572739;1786599;3602035
