edad;distancia;negocios;latitud;longitud;precio
32;84.87882;10;24.98;121.54;11.5
19.5;306.5947;9;24.98;121.54;12.8
13.3;561.9845;5;24.99;121.54;14.3
13.3;561.9845;5;24.99;121.54;16.6
5;390.5684;5;24.98;121.54;13.1
7.1;2176.03;4;24.96;121.51;9.7
34.5;623.4731;7;24.98;121.54;12.2
20.1;287.6025;6;24.98;121.54;14.2
31.7;5512.038;1;24.95;121.48;5.7
17.9;1783.18;3;24.97;121.51;6.7
34.7;405.2134;1;24.97;121.53;12.5
0.2;292.9978;6;24.98;121.54;21.2
17.7;350.8515;1;24.98;121.53;11.3
16.9;368.1363;8;24.97;121.54;12.8
1.5;23.48;7;24.97;121.54;14.5
4.5;2275.877;3;24.96;121.51;8.9
10.5;279.1726;7;24.98;121.55;15.6
14.7;1360.139;1;24.95;121.55;7.5
10.1;279.1726;7;24.98;121.55;14.5
39.6;480.6977;4;24.97;121.54;11.8
29.3;1487.868;2;24.98;121.52;8.2
3.1;383.8624;5;24.98;121.54;17.0
10.4;276.449;4;24.96;121.54;10.2
19.2;557.478;5;24.97;121.54;14.2
7.3;451.2438;5;24.98;121.55;17.3
25.9;4519.69;0;24.95;121.5;6.7
29.6;769.4034;7;24.98;121.53;7.6
37.9;488.5727;1;24.97;121.53;10.4
16.5;323.655;6;24.98;121.54;14.9
15.4;205.367;7;24.98;121.54;16.7
13.9;4079.418;0;25.01;121.52;8.3
14.7;1935.009;2;24.96;121.51;6.9
12;1360.139;1;24.95;121.55;7.7
3.1;577.9615;6;24.97;121.55;14.5
16.2;289.3248;5;24.98;121.54;14.0
13.6;4082.015;0;24.94;121.5;4.8
16.8;4066.587;0;24.94;121.5;5.5
36.1;519.4617;5;24.96;121.54;10.5
34.4;512.7871;6;24.99;121.54;10.3
2.7;533.4762;4;24.97;121.55;16.3
36.6;488.8193;8;24.97;121.54;11.6
21.7;463.9623;9;24.97;121.54;12.7
35.9;640.7391;3;24.98;121.54;18.6
24.2;4605.749;0;24.95;121.5;4.1
29.4;4510.359;1;24.95;121.5;4.0
21.7;512.5487;4;24.97;121.54;13.4
31.3;1758.406;1;24.95;121.55;6.3
32.1;1438.579;3;24.97;121.52;8.2
13.3;492.2313;5;24.97;121.54;11.8
16.1;289.3248;5;24.98;121.54;15.7
31.7;1160.632;0;24.95;121.53;4.2
33.6;371.2495;8;24.97;121.54;12.7
3.5;56.47425;7;24.96;121.54;16.2
30.3;4510.359;1;24.95;121.5;6.8
13.3;336.0532;5;24.96;121.53;12.8
11;1931.207;2;24.96;121.51;6.5
5.3;259.6607;6;24.98;121.55;19.2
17.2;2175.877;3;24.96;121.51;8.4
2.6;533.4762;4;24.97;121.55;16.7
17.5;995.7554;0;24.96;121.55;7.7
40.1;123.7429;8;24.98;121.54;13.4
1;193.5845;6;24.97;121.54;15.4
8.5;104.8101;5;24.97;121.54;17.2
30.4;464.223;6;24.98;121.54;11.0
12.5;561.9845;5;24.99;121.54;12.7
6.6;90.45606;9;24.97;121.54;17.9
35.5;640.7391;3;24.98;121.54;12.4
32.5;424.5442;8;24.98;121.54;11.0
13.8;4082.015;0;24.94;121.5;6.1
6.8;379.5575;10;24.98;121.54;16.5
12.3;1360.139;1;24.95;121.55;8.9
35.9;616.4004;3;24.98;121.54;11.2
20.5;2185.128;3;24.96;121.51;7.8
38.2;552.4371;2;24.98;121.53;9.0
18;1414.837;1;24.95;121.55;8.0
11.8;533.4762;4;24.97;121.55;12.2
30.8;377.7956;6;24.96;121.54;11.2
13.2;150.9347;7;24.97;121.54;14.6
25.3;2707.392;3;24.96;121.51;5.4
15.1;383.2805;7;24.97;121.54;13.2
0;338.9679;9;24.97;121.54;15.4
1.8;1455.798;1;24.95;121.55;8.2
16.9;4066.587;0;24.94;121.5;5.5
8.9;1406.43;0;24.99;121.53;14.5
23;3947.945;0;24.95;121.5;7.7
0;274.0144;1;24.97;121.53;13.8
9.1;1402.016;0;24.99;121.53;13.1
20.6;2469.645;4;24.96;121.51;6.6
31.9;1146.329;0;24.95;121.53;4.9
40.9;167.5989;5;24.97;121.54;12.4
8;104.8101;5;24.97;121.54;15.7
