Precio;Años;kilómetros;Tipo de combustible;HP;MetColor;Automático;CC;puertas;Peso
13500;23;46986;Diesel;90;1;0;2000;3;1165
13750;23;72937;Diesel;90;1;0;2000;3;1165
13950;24;41711;Diesel;90;1;0;2000;3;1165
14950;26;48000;Diesel;90;0;0;2000;3;1165
13750;30;38500;Diesel;90;0;0;2000;3;1170
12950;32;61000;Diesel;90;0;0;2000;3;1170
16900;27;94612;Diesel;90;1;0;2000;3;1245
18600;30;75889;Diesel;90;1;0;2000;3;1245
21500;27;19700;Gasolina;192;0;0;1800;3;1185
12950;23;71138;Diesel;69;0;0;;3;1105
20950;25;31461;Gasolina;192;0;0;1800;3;1185
19950;22;43610;Gasolina;192;0;0;1800;3;1185
19600;25;32189;Gasolina;192;0;0;1800;3;1185
21500;31;23000;Gasolina;192;1;0;1800;3;1185
22500;32;34131;Gasolina;192;1;0;1800;3;1185
22000;28;18739;Gasolina;192;0;0;1800;3;1185
22750;30;34000;Gasolina;192;1;0;1800;3;1185
17950;24;21716;Gasolina;110;1;0;1600;3;1105
16750;24;25563;Gasolina;110;0;0;1600;3;1065
16950;30;64359;Gasolina;110;1;0;1600;3;1105
15950;30;67660;Gasolina;110;1;0;1600;3;1105
16950;29;43905;Gasolina;110;0;1;1600;3;1170
15950;28;56349;Gasolina;110;1;0;1600;3;1120
16950;28;32220;Gasolina;110;1;0;1600;3;1120
16250;29;25813;Gasolina;110;1;0;1600;3;1120
15950;25;28450;Gasolina;110;1;0;1600;3;1120
17495;27;34545;Gasolina;110;1;0;1600;3;1120
15750;29;41415;Gasolina;110;1;0;1600;3;1120
16950;28;44142;Gasolina;110;0;0;1600;3;1120
17950;30;11090;Gasolina;110;1;0;1600;3;1120
12950;29;9750;Gasolina;97;1;0;1400;3;1100
15750;22;35199;Gasolina;97;1;0;1400;3;1100
15950;27;29510;Gasolina;97;1;0;1400;3;1100
14950;26;32692;Gasolina;97;1;0;1400;3;1100
15500;22;41000;Gasolina;97;1;0;1400;3;1100
15750;26;43000;Gasolina;97;0;0;1400;3;1100
15950;25;25000;Gasolina;97;0;0;1400;3;1100
14950;23;10000;Gasolina;97;1;0;1400;3;1100
15750;32;25329;Gasolina;97;1;0;1400;3;1100
14750;27;27500;Gasolina;97;0;0;1400;3;1100
13950;22;49059;Gasolina;97;0;0;1400;3;1100
16750;27;44068;Gasolina;97;1;0;1400;3;1100
13950;22;46961;Gasolina;97;0;0;1400;3;1100
16950;27;110404;Diesel;90;0;0;2000;5;1255
16950;22;100250;Diesel;90;0;0;2000;5;1255
19000;23;84000;Diesel;90;0;0;2000;5;1270
17950;27;79375;Diesel;90;1;0;2000;5;1255
15800;22;75048;Gasolina;97;1;0;1400;5;1110
17950;22;72215;Diesel;90;1;0;2000;5;1255
21950;31;64982;Gasolina;192;1;0;1800;5;1195
17950;22;62636;Diesel;90;1;0;2000;5;1255
15750;30;57086;Gasolina;97;1;0;1400;5;1110
20500;26;56000;Gasolina;110;1;1;1600;5;1180
21950;27;49866;Gasolina;192;1;0;1800;5;1195
15500;25;49163;Gasolina;110;0;1;1600;5;1165
13250;32;45725;Gasolina;110;1;0;1600;5;1075
15250;28;43210;Gasolina;97;0;0;1400;5;1110
15250;26;43000;Gasolina;97;0;0;1400;5;1110
18950;23;39704;Gasolina;110;1;1;1600;5;1180
15999;30;38950;Gasolina;110;1;0;1600;5;1130
14950;22;37400;Gasolina;97;1;0;1400;5;1110
16500;27;37177;Gasolina;110;0;0;1600;5;1130
18750;31;36544;Gasolina;110;1;0;1600;5;1130
17950;30;33511;Gasolina;110;1;0;1600;5;1130
17950;27;32809;Gasolina;97;1;0;1400;5;1110
16950;26;32181;Gasolina;110;1;0;1600;5;1075
18950;28;30993;Gasolina;110;1;0;1600;5;1130
14950;22;30400;Gasolina;97;1;0;1400;5;1110
22250;22;30000;Diesel;110;1;0;2000;5;1275
15950;25;29719;Gasolina;97;1;0;1400;5;1110
15950;28;29206;Gasolina;97;1;0;1400;5;1110
12995;32;29198;Gasolina;97;1;0;1400;5;1060
18950;28;28817;Gasolina;110;1;0;1598;5;1130
15750;23;28227;Gasolina;97;1;0;1400;5;1110
19950;28;28000;Gasolina;110;0;0;1600;5;1130
16950;23;28000;Gasolina;110;1;0;1600;5;1115
18750;31;25266;Gasolina;110;1;0;1600;5;1130
18450;27;23489;Gasolina;110;0;0;1600;5;1115
16895;29;22575;Gasolina;110;1;0;1600;5;1115
14900;30;22000;Gasolina;97;1;0;1400;5;1110
18950;25;20019;Gasolina;110;1;1;1600;5;1180
