"","id","zona","piso","estrato","preciom","areaconst","parqueaderos","banios","habitaciones","tipo","barrio","longitud","latitud"
"1",1147,"Zona Oriente",NA,3,250,70,1,3,6,"Casa","20 de julio",-76.51168,3.43382
"2",1169,"Zona Oriente",NA,3,320,120,1,2,3,"Casa","20 de julio",-76.51237,3.43369
"3",1350,"Zona Oriente",NA,3,350,220,2,2,4,"Casa","20 de julio",-76.51537,3.43566
"4",5992,"Zona Sur","02",4,400,280,3,5,3,"Casa","3 de julio",-76.54,3.435
"5",1212,"Zona Norte","01",5,260,90,1,2,3,"Apartamento","acopi",-76.5135,3.45891
"6",1724,"Zona Norte","01",5,240,87,1,3,3,"Apartamento","acopi",-76.517,3.36971
"7",2326,"Zona Norte","01",4,220,52,2,2,3,"Apartamento","acopi",-76.51974,3.42627
"8",4386,"Zona Norte","01",5,310,137,2,3,4,"Apartamento","acopi",-76.53105,3.38296
"9",1209,"Zona Norte","02",5,320,150,2,4,6,"Casa","acopi",-76.51341,3.47968
"10",1592,"Zona Norte","02",5,780,380,2,3,3,"Casa","acopi",-76.51674,3.48721
"11",4057,"Zona Norte","02",6,750,445,NA,7,6,"Casa","acopi",-76.5295,3.38527
"12",4460,"Zona Norte","02",4,625,355,3,5,5,"Casa","acopi",-76.53179,3.4059
"13",6081,"Zona Norte","02",5,750,237,2,6,6,"Casa","acopi",-76.54044,3.36862
"14",7497,"Zona Norte","02",6,520,98,2,2,2,"Apartamento","acopi",-76.54999,3.43505
"15",7824,"Zona Norte","02",4,600,160,1,4,5,"Casa","acopi",-76.5521,3.42125
"16",7987,"Zona Norte","02",5,420,200,4,4,5,"Casa","acopi",-76.55363,3.4005
"17",3495,"Zona Norte","03",5,490,118,2,4,4,"Casa","acopi",-76.5268,3.37823
"18",5424,"Zona Norte","03",4,320,108,2,3,3,"Apartamento","acopi",-76.53638,3.4077
"19",6271,"Zona Norte","03",5,385,103,2,2,3,"Apartamento","acopi",-76.54173,3.424
"20",6857,"Zona Norte","03",3,100,49,NA,1,2,"Apartamento","acopi",-76.54531,3.37775
"21",3817,"Zona Norte","04",3,175,80,1,2,3,"Apartamento","acopi",-76.52875,3.42006
"22",509,"Zona Norte","05",6,820,377,1,4,4,"Apartamento","acopi",-76.4978,3.47663
"23",2323,"Zona Norte","05",6,450,103,2,3,4,"Apartamento","acopi",-76.51972,3.44
"24",5098,"Zona Sur","05",4,290,96,1,2,3,"Apartamento","acopi",-76.53464,3.44987
"25",6043,"Zona Norte","05",5,420,124,3,3,3,"Apartamento","acopi",-76.54015,3.4097
"26",6412,"Zona Norte","05",6,620,135,2,3,4,"Apartamento","acopi",-76.54252,3.34299
"27",1770,"Zona Norte","06",5,170,56,1,1,2,"Apartamento","acopi",-76.51735,3.37251
"28",141,"Zona Norte",NA,3,230,160,NA,2,3,"Casa","acopi",-76.48641,3.44956
"29",238,"Zona Norte",NA,5,430,105,NA,3,3,"Apartamento","acopi",-76.49006,3.46819
"30",243,"Zona Norte",NA,3,190,435,NA,0,0,"Casa","acopi",-76.49032,3.43856
"31",504,"Zona Norte",NA,3,180,120,NA,3,3,"Casa","acopi",-76.49768,3.4706
"32",565,"Zona Norte",NA,3,500,210,NA,6,6,"Casa","acopi",-76.49899,3.44843
"33",567,"Zona Norte",NA,3,199,176,NA,1,5,"Apartamento","acopi",-76.49899,3.44843
"34",589,"Zona Norte",NA,5,320,235,NA,4,4,"Apartamento","acopi",-76.49911,3.44901
"35",604,"Zona Norte",NA,5,520,455,NA,5,4,"Casa","acopi",-76.49966,3.46284
"36",816,"Zona Norte",NA,5,345,85,NA,2,2,"Apartamento","acopi",-76.50324,3.48174
"37",827,"Zona Norte",NA,3,130,61,NA,1,3,"Apartamento","acopi",-76.50356,3.44845
"38",838,"Zona Norte",NA,5,185,74,NA,2,2,"Apartamento","acopi",-76.5039,3.46171
"39",965,"Zona Norte",NA,3,98,72,NA,1,2,"Apartamento","acopi",-76.50679,3.46582
"40",966,"Zona Norte",NA,3,130,96,NA,2,3,"Apartamento","acopi",-76.50679,3.46582
"41",967,"Zona Norte",NA,3,92,60,NA,1,1,"Apartamento","acopi",-76.50679,3.46582
"42",968,"Zona Norte",NA,3,98,68,NA,1,2,"Apartamento","acopi",-76.50679,3.46582
"43",1003,"Zona Norte",NA,3,380,300,NA,5,8,"Casa","acopi",-76.50743,3.46566
"44",1182,"Zona Norte",NA,4,220,82,NA,2,3,"Apartamento","acopi",-76.51289,3.4599
